Date;Open;High;Low;Close;Volume;Adj Close
01/10/2015;17479,9707;19202,33984;17389,57031;19083,09961;146900;19083,09961
02/11/2015;18827,10938;19994,05078;18641,2207;19747,4707;139300;19747,4707
01/12/2015;19799,08008;20012,40039;18562,50977;19033,71094;132700;19033,71094
04/01/2016;18818,58008;18951,11914;16017,25977;17518,30078;173000;17518,30078
01/02/2016;17699,59961;17905,36914;14865,76953;16026,75977;172100;16026,75977
01/03/2016;16013;17291,34961;15857,37012;16758,66992;107700;16758,66992
01/04/2016;16719,56055;17613,56055;15471,79981;16666,05078;154000;16666,05078
02/05/2016;16357,09961;17251,35938;15975,46973;17234,98047;111500;17234,98047
01/06/2016;17097,2207;17145,94922;14864,00977;15575,91992;126700;15575,91992
01/07/2016;15698,01953;16938,96094;15106,51953;16569,26953;952600;16569,26953
01/08/2016;16415,31055;16943,66992;15921,04004;16887,40039;87500;16887,40039
01/09/2016;16885,16016;17156,35938;16285,41016;16449,83984;99000;16449,83984
03/10/2016;16566,0293;17461,0293;16278,19043;17425,01953;104600;17425,01953
01/11/2016;17380,53906;17621,73047;1560,660034;17374,78906;148400;17374,78906
